alpha,cl,cd,cm,ld,re,ncrit,cl_corrected,cd_original,cd_corrected,ld_corrected,mach_corrected
-1.850000,0.144900,0.006320,-0.082300,22.927215,2000000.000000,6.000000,0.214642,0.006320,0.006320,33.962363,0.750000
-1.700000,0.162400,0.006280,-0.082500,25.859873,2000000.000000,6.000000,0.240565,0.006280,0.006280,38.306544,0.750000
-1.550000,0.179900,0.006220,-0.082600,28.922830,2000000.000000,6.000000,0.266488,0.006220,0.006220,42.843739,0.750000
-1.100000,0.231800,0.005620,-0.083400,41.245552,2000000.000000,6.000000,0.343368,0.005620,0.005620,61.097537,0.750000
-0.950000,0.249200,0.005290,-0.083800,47.107750,2000000.000000,6.000000,0.369143,0.005290,0.005290,69.781284,0.750000
-0.800000,0.266500,0.004900,-0.084300,54.387755,2000000.000000,6.000000,0.394770,0.004900,0.004900,80.565243,0.750000
-0.650000,0.283800,0.004600,-0.084600,61.695652,2000000.000000,6.000000,0.420396,0.004600,0.004600,91.390520,0.750000
-0.500000,0.301200,0.004500,-0.084800,66.933333,2000000.000000,6.000000,0.446171,0.004500,0.004500,99.149161,0.750000
-0.350000,0.318700,0.004440,-0.085000,71.779279,2000000.000000,6.000000,0.472094,0.004440,0.004440,106.327519,0.750000
-0.200000,0.336300,0.004410,-0.085100,76.258503,2000000.000000,6.000000,0.498165,0.004410,0.004410,112.962648,0.750000
-0.050000,0.353700,0.004400,-0.085200,80.386364,2000000.000000,6.000000,0.523940,0.004400,0.004400,119.077298,0.750000
0.100000,0.371000,0.004390,-0.085300,84.510251,2000000.000000,6.000000,0.549567,0.004390,0.004390,125.186062,0.750000
0.250000,0.388500,0.004380,-0.085500,88.698630,2000000.000000,6.000000,0.575490,0.004380,0.004380,131.390359,0.750000
0.400000,0.405900,0.004410,-0.085600,92.040816,2000000.000000,6.000000,0.601265,0.004410,0.004410,136.341180,0.750000
0.550000,0.423000,0.004440,-0.085600,95.270270,2000000.000000,6.000000,0.626595,0.004440,0.004440,141.125010,0.750000
0.700000,0.440000,0.004490,-0.085700,97.995546,2000000.000000,6.000000,0.651777,0.004490,0.004490,145.161993,0.750000
0.850000,0.457200,0.004530,-0.085700,100.927152,2000000.000000,6.000000,0.677256,0.004530,0.004530,149.504618,0.750000
1.000000,0.474500,0.004570,-0.085800,103.829322,2000000.000000,6.000000,0.702883,0.004570,0.004570,153.803637,0.750000
1.150000,0.491600,0.004610,-0.085900,106.637744,2000000.000000,6.000000,0.728213,0.004610,0.004610,157.963787,0.750000
