alpha,cl,cd,cm,ld,re,ncrit
8.200000,1.203100,0.014430,-0.070900,83.374913,2000000.000000,6.000000
8.350000,1.215600,0.014670,-0.070100,82.862986,2000000.000000,6.000000
8.500000,1.226700,0.014900,-0.068900,82.328859,2000000.000000,6.000000
8.800000,1.254600,0.015400,-0.067800,81.467532,2000000.000000,6.000000
8.950000,1.268900,0.015640,-0.067300,81.131714,2000000.000000,6.000000
9.100000,1.282500,0.015940,-0.066700,80.457967,2000000.000000,6.000000
9.250000,1.296100,0.016230,-0.066100,79.858287,2000000.000000,6.000000
9.400000,1.309600,0.016510,-0.065500,79.321623,2000000.000000,6.000000
9.550000,1.323100,0.016780,-0.064900,78.849821,2000000.000000,6.000000
9.700000,1.336400,0.017070,-0.064300,78.289397,2000000.000000,6.000000
9.850000,1.349400,0.017370,-0.063600,77.685665,2000000.000000,6.000000
10.000000,1.362100,0.017690,-0.062900,76.998304,2000000.000000,6.000000
10.150000,1.372500,0.018200,-0.061800,75.412088,2000000.000000,6.000000
10.300000,1.381600,0.018710,-0.060500,73.842865,2000000.000000,6.000000
10.450000,1.391900,0.019070,-0.059300,72.988988,2000000.000000,6.000000
10.600000,1.401500,0.019470,-0.058100,71.982537,2000000.000000,6.000000
10.750000,1.411100,0.019850,-0.056800,71.088161,2000000.000000,6.000000
10.900000,1.419900,0.020310,-0.055500,69.911374,2000000.000000,6.000000
11.050000,1.429500,0.020690,-0.054300,69.091348,2000000.000000,6.000000
11.200000,1.438100,0.021160,-0.053000,67.963138,2000000.000000,6.000000
11.350000,1.448400,0.021490,-0.051900,67.398790,2000000.000000,6.000000
11.500000,1.458400,0.021850,-0.050900,66.745995,2000000.000000,6.000000
11.650000,1.467300,0.022310,-0.049700,65.768714,2000000.000000,6.000000
11.800000,1.476000,0.022800,-0.048500,64.736842,2000000.000000,6.000000
11.950000,1.484200,0.023340,-0.047300,63.590403,2000000.000000,6.000000
12.100000,1.490500,0.024060,-0.046000,61.949293,2000000.000000,6.000000
12.250000,1.495800,0.024870,-0.044500,60.144753,2000000.000000,6.000000
12.400000,1.501500,0.025640,-0.043200,58.560842,2000000.000000,6.000000
12.550000,1.506000,0.026520,-0.041800,56.787330,2000000.000000,6.000000
12.700000,1.510900,0.027380,-0.040400,55.182615,2000000.000000,6.000000
12.850000,1.514700,0.028370,-0.039100,53.390906,2000000.000000,6.000000
13.000000,1.517700,0.029420,-0.037700,51.587356,2000000.000000,6.000000
13.150000,1.521200,0.030450,-0.036500,49.957307,2000000.000000,6.000000
13.300000,1.521800,0.031780,-0.035100,47.885463,2000000.000000,6.000000
13.450000,1.524400,0.032910,-0.034000,46.320267,2000000.000000,6.000000
13.600000,1.525100,0.034260,-0.032800,44.515470,2000000.000000,6.000000
13.750000,1.525600,0.035650,-0.031700,42.793829,2000000.000000,6.000000
13.900000,1.524600,0.037220,-0.030600,40.961848,2000000.000000,6.000000
14.050000,1.524000,0.038750,-0.029700,39.329032,2000000.000000,6.000000
14.200000,1.521100,0.040570,-0.028700,37.493222,2000000.000000,6.000000
14.350000,1.517300,0.042530,-0.028000,35.675993,2000000.000000,6.000000
14.500000,1.513600,0.044510,-0.027300,34.005841,2000000.000000,6.000000
14.650000,1.506400,0.046940,-0.026800,32.092032,2000000.000000,6.000000
14.800000,1.500100,0.049350,-0.026500,30.397163,2000000.000000,6.000000
14.950000,1.492600,0.051980,-0.026300,28.714890,2000000.000000,6.000000
15.100000,1.482900,0.054930,-0.026400,26.996177,2000000.000000,6.000000
15.250000,1.472300,0.058140,-0.026800,25.323357,2000000.000000,6.000000
15.400000,1.461300,0.061540,-0.027500,23.745531,2000000.000000,6.000000
15.550000,1.449400,0.065180,-0.028400,22.236882,2000000.000000,6.000000
15.700000,1.437700,0.069000,-0.029700,20.836232,2000000.000000,6.000000
15.850000,1.423200,0.073450,-0.031500,19.376447,2000000.000000,6.000000
16.000000,1.410600,0.077830,-0.033600,18.124117,2000000.000000,6.000000
16.150000,1.396400,0.082700,-0.036100,16.885127,2000000.000000,6.000000
16.300000,1.381700,0.087970,-0.039000,15.706491,2000000.000000,6.000000
16.450000,1.367000,0.093600,-0.042500,14.604701,2000000.000000,6.000000
16.600000,1.350500,0.099980,-0.046600,13.507702,2000000.000000,6.000000
16.750000,1.333800,0.106870,-0.051200,12.480584,2000000.000000,6.000000
16.900000,1.313400,0.115110,-0.056800,11.409956,2000000.000000,6.000000
